"#dataset-key","rights"
5e6acf4c-e913-45fd-8466-5c0b92c322dd,not supplied
73ac859f-a43c-488b-9d9f-92b838b61730,not supplied
fb1840bb-6b48-4ee9-81b1-c4f135108d29,not supplied
ec1eaeed-a9ff-48e4-9619-bee8a070647c,not supplied
06df03fc-8973-490c-af74-089fffae9e24,not supplied
79f243f4-9c38-4305-997f-fa8ac3089dba,not supplied
fee15ebc-27ce-4aff-b912-2657bbd493d2,not supplied
0868d77b-102e-4d0d-ab9a-7855464b606a,not supplied
66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2,not supplied
fd6c18af-ea6c-4b85-90ca-26dbe0cadec2,not supplied
887e6209-ea70-46a7-9652-fc94ca97ae0a,not supplied
a8c8144a-3693-4d92-8bc4-49e00dd8defc,not supplied
2ed0f57f-c86b-4bb0-ab61-348ebc992bc3,not supplied
3427d02c-2723-47b5-913b-9193269f0a6d,not supplied
51de9c85-0337-4c68-9783-f13bc0aac15f,not supplied
1b11a5e3-6991-44fd-848b-6fd9c1368c58,not supplied
821765c9-59dc-4310-9970-d82c2eb9eff7,not supplied
1629476c-b7f3-4b2a-92c8-3a4bddfb3b8c,not supplied
ada2bac0-efad-47f2-b4df-8c0d2b7ed881,not supplied
565330ef-3937-4eb3-9bf9-561918394f0c,not supplied
0e2d604a-0ba5-4ed9-ae7a-31ceac2aa1fb,not supplied
b23f9eb6-2585-4cb5-85c5-5ba39040838f,not supplied
9850b85a-793f-429d-a437-2d5b46282acf,not supplied
3caf2aad-a970-4905-872c-b4cd014f48bd,not supplied
21934821-38c4-496f-a17b-e8dafd29eabf,not supplied
2f58500b-b776-4fe6-b2b9-cbb32e8cd615,not supplied
eed1e6a2-7fb3-4519-bcf1-47b9fb9fa223,not supplied
59bf2c83-1e3c-40c8-9437-39ce3d3d462c,not supplied
01c5963f-25c7-4361-8ee8-30f6a6ff98e4,not supplied
db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,not supplied
05d46db0-71db-42c0-b5cb-b81120093f1d,not supplied
29886bf9-62d2-4208-87f6-109dd1972607,not supplied
f3f10afc-257f-47ef-8b0c-4bcaebdc09dc,not supplied
2c28a663-db16-48d3-9cd0-3c7ec8d8d873,not supplied
a639542a-654a-427b-9cf1-bde1953bbb52,not supplied
5a659248-1f70-11e3-b2c5-00145eb45e9a,The use of the data is allowed only for non-profit scientific use and for non-profit nature conservation purpose.
6c808b65-184a-4ec2-a658-d55d5e1f9ba5,not supplied
90e99b1e-6ae4-4577-9679-ba4603e24f5c,not supplied
76cc7230-76b6-4763-9caf-22626b29c0a6,not supplied
96e5a2f0-d008-4136-955c-83cd139b23c6,"Esta [Chiropteros en el Parque Natural Regional El Vínculo y su zona de amortiguación (Buga, Valle del Cauca)] se hace disponible bajo la licencia Open Data Commons Attribution: http://www.opendatacommons.org/licenses/by/1.0/"
e70580b8-b1df-4566-9a33-b32f30aab526,not supplied
34bcd3c8-5130-46ff-9000-1d4b44087aeb,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode
ee9c2798-1637-11e3-b987-00145eb45e9a,not supplied
63e5b784-13c3-11e3-bb65-00145eb45e9a,not supplied
8b97e0ae-c803-4d24-8098-74874113c344,not supplied
91a7ba5f-1090-45f6-9e71-48b0bce5ab63,not supplied
86653843-d46c-4924-9cbe-34737366a5b3,not supplied
21448e32-117a-11e3-a753-00145eb45e9a,not supplied
c5da77b7-7423-49a4-a379-f423ea0f07b8,http://creativecommons.org/publicdomain/zero/1.0/ & http://www.canadensys.net/norms
c68d6fdc-f921-47f3-95c6-ca9766280ad4,Terms of use Ghana Herbarium data: all rights on this data file belong to the University of Ghana / Ghana Herbarium. Please contact the Herbarium data manager before secondary usage of data in electronic or printed form.
4c7a13a5-72b1-41ff-ad7c-8af40d3cc3cc,not supplied
594e0bf8-d08c-4a69-9c76-1c620554e719,not supplied
b3c4e139-2305-4679-9379-cc898866ae65,not supplied
cc0e6535-6bb4-4703-a32c-077f5e1176cd,not supplied
69f0f5c2-08b9-11e3-ab1f-00145eb45e9a,not supplied
6a122346-08b9-11e3-ab1f-00145eb45e9a,not supplied
98442b0b-9f7b-4924-9289-5b793946ca01,not supplied
52a423d2-0486-4e77-bcee-6350d708d6ff,not supplied
f2f9bf0c-1c74-4be0-80b3-f688d8e6547f,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode
cf241014-c763-4e35-9baa-9065828fab11,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode
6a6c9b42-b9e2-4b50-8743-3b4e185564ac,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode
