key,owningOrganizationKey,numberOfOccurrences,rights,standard license,use,distribution,derivatives,commercial,attribution,share alike,notification
fdbbb939-ee0b-4c6e-8eb3-15ed92177306,0c23482f-89f3-4efa-b6ed-7b25dadde4fc,0,,,?,?,?,?,?,?,?
e0459621-92c2-40ac-9934-72b3b1384dc3,456058db-f70b-4005-97ad-e08570cf0c56,0,,,?,?,?,?,?,?,?
ca35c47e-4099-4f1e-bb7b-db70e7300dd3,c4c9ac9e-8d6b-4047-99aa-40e0bd8e8720,0,,,?,?,?,?,?,?,?
eabb3ebc-e394-4737-97d9-1e93f30cf906,a30d7f59-d3d4-4e89-97dc-de9cf837f591,0,,,?,?,?,?,?,?,?
d46b37d6-c4d1-4bb9-abbf-5f8a16f45c04,610414e0-8040-11d9-8294-b8a03c50a862,0,,,?,?,?,?,?,?,?
feb769dd-6096-4b25-8a69-9ece3a9e4b66,610414e0-8040-11d9-8294-b8a03c50a862,0,,,?,?,?,?,?,?,?
bf750dad-8c2c-4988-9f89-dc113d51c434,610414e0-8040-11d9-8294-b8a03c50a862,0,,,?,?,?,?,?,?,?
cc902858-60bd-49b9-a7ae-ae1015210295,610414e0-8040-11d9-8294-b8a03c50a862,0,,,?,?,?,?,?,?,?
0c876836-5fe0-4f3d-8eba-ef155f2568fd,610414e0-8040-11d9-8294-b8a03c50a862,0,,,?,?,?,?,?,?,?
fc5312a2-ccf2-4195-9f66-6de3fcc4dd3c,610414e0-8040-11d9-8294-b8a03c50a862,0,,,?,?,?,?,?,?,?
bf46ae19-3c02-4701-bcb9-ca6d176c4895,610414e0-8040-11d9-8294-b8a03c50a862,0,,,?,?,?,?,?,?,?
6d5fced1-6e85-4d9e-88f4-e1459772d2fd,dc282b9d-8f3b-4197-b174-ba5272721a6f,0,,,?,?,?,?,?,?,?
5ba69a5d-a3f6-4e4e-bbf6-52ebf7dc47b3,baa855b0-a010-4240-9adf-98c810a6ccf5,0,,,?,?,?,?,?,?,?
8167bb10-9d74-4d70-afea-778b87720307,f314b0b0-e3dc-11d9-8d81-b8a03c50a862,367,,,?,?,?,?,?,?,?
138c2def-70c0-416c-b341-5004318f6c66,1447752d-0ee4-4951-a0fb-b1f2acb977af,0,,,?,?,?,?,?,?,?
47083374-d545-4f4e-8f4f-1fd881d13fbd,a2f1c6f5-88de-4fc5-891a-336259f32f4e,0,,,?,?,?,?,?,?,?
da434db5-aad4-4960-98b9-6245f7469b91,e1050db2-9faf-4d72-b860-295debaf9d2a,0,,,?,?,?,?,?,?,?
8ed7d410-fcf5-4ebb-90dc-f60e750c387b,e1050db2-9faf-4d72-b860-295debaf9d2a,0,,,?,?,?,?,?,?,?
6ce9819a-d82b-41e1-9059-0dd201f15993,f314b0b0-e3dc-11d9-8d81-b8a03c50a862,72446,,,?,?,?,?,?,?,?
5e6acf4c-e913-45fd-8466-5c0b92c322dd,bc092ff0-02e4-11dc-991f-b8a03c50a862,0,,,?,?,?,?,?,?,?
73ac859f-a43c-488b-9d9f-92b838b61730,bb922300-7ddb-11de-a300-90ac77aa923f,0,,,?,?,?,?,?,?,?
fb1840bb-6b48-4ee9-81b1-c4f135108d29,bb922300-7ddb-11de-a300-90ac77aa923f,0,,,?,?,?,?,?,?,?
ec1eaeed-a9ff-48e4-9619-bee8a070647c,c4f66525-4d36-4c18-82ac-98e088f54db4,0,,,?,?,?,?,?,?,?
06df03fc-8973-490c-af74-089fffae9e24,b62390e0-0e35-11d9-8431-b8a03c50a862,0,,,?,?,?,?,?,?,?
79f243f4-9c38-4305-997f-fa8ac3089dba,7a3c9e09-64d5-4c47-a193-0109daffe3cc,0,,,?,?,?,?,?,?,?
fee15ebc-27ce-4aff-b912-2657bbd493d2,8448511a-21b7-4e21-b1b2-1f208501c25b,0,,,?,?,?,?,?,?,?
0868d77b-102e-4d0d-ab9a-7855464b606a,4a19e429-8f13-478e-86d7-93adb7534524,0,,,?,?,?,?,?,?,?
66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2,1989b627-2a61-44db-83e4-392efc5da0a9,15669,http://creativecommons.org/publicdomain/zero/1.0/,http://creativecommons.org/publicdomain/zero/1.0/,true,true,true,true,false,false,false
