key,owningOrganizationKey,numberOfOccurrences,rights,standard license,use,distribution,derivatives,commercial,attribution,share alike,notification
6d5fced1-6e85-4d9e-88f4-e1459772d2fd,dc282b9d-8f3b-4197-b174-ba5272721a6f,0,not supplied,false,?,?,?,?,?,?,?
5ba69a5d-a3f6-4e4e-bbf6-52ebf7dc47b3,baa855b0-a010-4240-9adf-98c810a6ccf5,0,not supplied,false,?,?,?,?,?,?,?
8167bb10-9d74-4d70-afea-778b87720307,f314b0b0-e3dc-11d9-8d81-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
138c2def-70c0-416c-b341-5004318f6c66,1447752d-0ee4-4951-a0fb-b1f2acb977af,0,not supplied,false,?,?,?,?,?,?,?
47083374-d545-4f4e-8f4f-1fd881d13fbd,a2f1c6f5-88de-4fc5-891a-336259f32f4e,0,not supplied,false,?,?,?,?,?,?,?
da434db5-aad4-4960-98b9-6245f7469b91,e1050db2-9faf-4d72-b860-295debaf9d2a,0,not supplied,false,?,?,?,?,?,?,?
8ed7d410-fcf5-4ebb-90dc-f60e750c387b,e1050db2-9faf-4d72-b860-295debaf9d2a,0,not supplied,false,?,?,?,?,?,?,?
6ce9819a-d82b-41e1-9059-0dd201f15993,f314b0b0-e3dc-11d9-8d81-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
5e6acf4c-e913-45fd-8466-5c0b92c322dd,bc092ff0-02e4-11dc-991f-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
73ac859f-a43c-488b-9d9f-92b838b61730,bb922300-7ddb-11de-a300-90ac77aa923f,0,not supplied,false,?,?,?,?,?,?,?
fb1840bb-6b48-4ee9-81b1-c4f135108d29,bb922300-7ddb-11de-a300-90ac77aa923f,0,not supplied,false,?,?,?,?,?,?,?
ec1eaeed-a9ff-48e4-9619-bee8a070647c,c4f66525-4d36-4c18-82ac-98e088f54db4,0,not supplied,false,?,?,?,?,?,?,?
06df03fc-8973-490c-af74-089fffae9e24,b62390e0-0e35-11d9-8431-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
79f243f4-9c38-4305-997f-fa8ac3089dba,7a3c9e09-64d5-4c47-a193-0109daffe3cc,0,not supplied,false,?,?,?,?,?,?,?
fee15ebc-27ce-4aff-b912-2657bbd493d2,8448511a-21b7-4e21-b1b2-1f208501c25b,0,not supplied,false,?,?,?,?,?,?,?
0868d77b-102e-4d0d-ab9a-7855464b606a,4a19e429-8f13-478e-86d7-93adb7534524,0,not supplied,false,?,?,?,?,?,?,?
66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2,1989b627-2a61-44db-83e4-392efc5da0a9,15669,not supplied,false,?,?,?,?,?,?,?
fd6c18af-ea6c-4b85-90ca-26dbe0cadec2,cccff716-2694-4209-9f9e-2f7a484465a0,0,not supplied,false,?,?,?,?,?,?,?
887e6209-ea70-46a7-9652-fc94ca97ae0a,07f617d0-c688-11d8-bf62-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
a8c8144a-3693-4d92-8bc4-49e00dd8defc,07f617d0-c688-11d8-bf62-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
2ed0f57f-c86b-4bb0-ab61-348ebc992bc3,07f617d0-c688-11d8-bf62-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
3427d02c-2723-47b5-913b-9193269f0a6d,07f617d0-c688-11d8-bf62-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
51de9c85-0337-4c68-9783-f13bc0aac15f,07f617d0-c688-11d8-bf62-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
1b11a5e3-6991-44fd-848b-6fd9c1368c58,07f617d0-c688-11d8-bf62-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
821765c9-59dc-4310-9970-d82c2eb9eff7,07f617d0-c688-11d8-bf62-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
1629476c-b7f3-4b2a-92c8-3a4bddfb3b8c,07f617d0-c688-11d8-bf62-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
ada2bac0-efad-47f2-b4df-8c0d2b7ed881,07f617d0-c688-11d8-bf62-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
565330ef-3937-4eb3-9bf9-561918394f0c,07f617d0-c688-11d8-bf62-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
0e2d604a-0ba5-4ed9-ae7a-31ceac2aa1fb,07f617d0-c688-11d8-bf62-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
b23f9eb6-2585-4cb5-85c5-5ba39040838f,07f617d0-c688-11d8-bf62-b8a03c50a862,0,not supplied,false,?,?,?,?,?,?,?
