standard license,use,distribution,derivatives,commercial,attribution,share alike,notification,license
false,?,?,?,?,?,?,?,not supplied
false,true,true,true,false,false,?,false,The use of the data is allowed only for non-profit scientific use and for non-profit nature conservation purpose.
true,true,true,true,true,true,false,false,"Esta [Chiropteros en el Parque Natural Regional El Vínculo y su zona de amortiguación (Buga, Valle del Cauca)] se hace disponible bajo la licencia Open Data Commons Attribution: http://www.opendatacommons.org/licenses/by/1.0/"
true,true,true,true,true,false,false,false,Este trabajo está bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode
true,true,true,true,true,false,false,false,http://creativecommons.org/publicdomain/zero/1.0/ & http://www.canadensys.net/norms
false,false,false,?,?,?,?,?,Terms of use Ghana Herbarium data: all rights on this data file belong to the University of Ghana / Ghana Herbarium. Please contact the Herbarium data manager before secondary usage of data in electronic or printed form.
true,true,true,true,true,true,false,false,Esta [Listado de las Arañas de Colombia (Arachnida: Araneae)] se hace disponible bajo la licencia Open Data Commons Attribution: http://www.opendatacommons.org/licenses/by/1.0/
true,true,true,true,true,false,false,false,This work is licensed under a Creative Commons CCZero 1.0 License http://creativecommons.org/publicdomain/zero/1.0/legalcode
false,true,true,true,false,false,?,false,not-for-profit use only
false,?,?,?,?,?,?,?,Copyright © 2013 by John H. Boyd III
,,,,,,,,http://macaulaylibrary.org/terms-of-use
false,true,true,true,true,true,false,false,Data from this dataset may be used and shared freely when the creators of the data are attributed correctly.
true,true,true,true,true,true,false,false,This [DATA(BASE)-NAME] is made available under the Open Data Commons Attribution License: http://www.opendatacommons.org/licenses/by/1.0/.
false,true,false,false,false,false,?,false,"Use of the data for commercial or for-profit applications are permitted only via written permission from Instituto de Investigação Científica Tropical. Data are provided to users, but should not be passed on to third parties or redistributed. It is explicitly forbidden to incorporate these data into other databases of free or restricted access."
false,true,false,false,?,true,?,true,"PSM data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the PSM. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the PSM notified. The James R. Slater Museum of Natural History or its staff is not responsible for damages, injury or loss due to the use of these data."
,,,,,,,,(see website)
false,true,false,false,?,true,?,true,"Oregon State University data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curator of the appropriate collection. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and Oregon State University notified. Oregon State University and its staff are not responsible for damages, injury or loss due to the use of these data."
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the The Flora of County Wexford dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Inland Fisheries Ireland data on freshwater fish in Irish lakes dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Rare marine fishes taken in Irish waters from 1786 to 2008 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
true,true,true,true,true,true,true,false,http://creativecommons.org/licenses/by-sa/3.0/
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Aquatic Oligochaeta of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,?,?,?,?,?,?,?,© Zoologische Staatssammlung München
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the North-west Ireland Machair Breeding Waders 2009. dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the National Newt Survey dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Trichoptera (caddisflies) of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,© Jena Microbial Resource Collection (JMRC) at Leibniz Institute for Natural Product Research and Infection Biology e.V. Hans-Knöll-Institute (HKI) and Friedrich Schiller University Jena
true,true,true,true,true,true,false,false,This IHSM pelagicdiversity database is made available under the Open Data Commons Attribution License: http://www.opendatacommons.org/licenses/by/1.0/
,,,,,,,,"El Herbario CDMB- Jardín Botánico se encuentra a cargo de una entidad pública, Corporación de Defensa de la Meseta de Bucaramanga CDMB, por lo tanto toda la información contenida en las colecciones biológicas de Herbario, plantas vivas y colección de Insectos, puede ser consultada por toda la comunidad dando los créditos correspondientes a la entidad."
false,true,false,false,?,true,?,true,"UCMP data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of the UCMP director or designate. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the UCMP notified. The University of California Museum of Paleontology and its staff are not responsible for damages, injury or loss due to the use of these data."
false,true,false,false,?,true,?,true,"University of British Columbia Beaty Biodiversity Museum data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of the University of British Columbia Beaty Biodiversity Museum. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the University of British Columbia Beaty Biodiversity Museum notified. The University of British Columbia Beaty Biodiversity Museum and its staff are not responsible for damages, injury or loss due to the use of these data."
false,?,?,?,?,?,?,?,The photographs are copyrighted by the institutions which hold the specimens
false,?,?,?,?,?,?,?,"© IBF project, DiversityMobile"
false,?,?,?,?,?,?,?,Staatliches Museum für Naturkunde Karlsruhe
false,?,?,?,?,?,?,?,© Botanische Staatssammlung München
false,true,false,false,?,true,?,true,"Carnegie Museum of Natural History (CM) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the CM. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the CM notified. The CM and its staff are not responsible for damages, injury or loss due to the use of these data."
false,true,false,false,?,true,?,true,"The Schmidt Museum of Natural History at Emporia State University (KSTC) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the KSTC. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the KSTC notified. The KSTC and its staff are not responsible for damages, injury or loss due to the use of these data."
false,true,false,false,?,true,?,true,"The data and media available through Arctos are the property of the originating institution, with all rights reserved. These records are intended for use in education and research and may not be repackaged, redistributed, or sold in any form without prior written consent from the collection(s) holding such data. Users wishing to include Arctos data or media in publications, reports, websites, or other means of dissemination must acknowledge the provenance of the original data, cite the institutional catalog number(s), and notify the appropriate curator. The date that information was accessed should be cited when downloaded data are used in published analyses. These are secondary data and their accuracy is not guaranteed. Citation of Arctos is no substitute for examination of specimens. The data providers are not responsible for loss or damages due to use of these data. http://arctosdb.org/home/data/ </br></br>"
false,true,false,false,?,true,?,true,"CUMV data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the CUMV. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the CUMV notified. The Cornel University Museum of Vertebrates and its staff are not responsible for damages, injury, or loss due to the use of these data."
false,true,false,false,?,true,?,true,"The data and media available through Arctos are the property of the originating institution, with all rights reserved. These records are intended for use in education and research and may not be repackaged, redistributed, or sold in any form without prior written consent from the collection(s) holding such data. Users wishing to include Arctos data or media in publications, reports, websites, or other means of dissemination must acknowledge the provenance of the original data, cite the institutional catalog number(s), and notify the appropriate curator. The date that information was accessed should be cited when downloaded data are used in published analyses. These are secondary data and their accuracy is not guaranteed. Citation of Arctos is no substitute for examination of specimens. The data providers are not responsible for loss or damages due to use of these data. http://arctosdb.org/home/data/"
false,true,false,false,false,true,?,true,"Data records from the Perot Museum of Nature and Science (Perot Museum) may be used by individual researchers or research groups for non-commercial purposes, but they may not be repackaged, resold, or redistributed in any form without the express written consent of the Collection Manager or appropriate curatorial staff.  If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged, the Perot Museum notified, and a copy of any resulting publication or report sent to the Collection Manager at the Perot Museum. The Perot Museum does not guarantee the accuracy of these data. Individual researchers should verify individual records by making direct reference to corresponding museum specimens. The Perot Museum and its staff are not responsible for damages, injury, or loss due to the use of these data."
false,true,false,false,?,true,?,true,"Georgia Southern University Department of Biology data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the Georgia Southern University Department of Biology. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the Georgia Southern University Department of Biology notified. Georgia Southern University Department of Biology or its staff is not responsible for damages, injury or loss due to the use of these data."
true,true,true,true,true,true,false,false,This [DATA(BASE)-NAME] is made available under the Open Data Commons Attribution License: http://www.opendatacommons.org/licenses/by/1.0/
false,true,false,false,?,true,?,true,"The data and media available through Arctos are the property of the originating institution, with all rights reserved. These records are intended for use in education and research and may not be repackaged, redistributed, or sold in any form without prior written consent from the collection(s) holding such data. Users wishing to include Arctos data or media in publications, reports, websites, or other means of dissemination must acknowledge the provenance of the original data, cite the institutional catalog number(s), and notify the appropriate curator. The date that information was accessed should be cited when downloaded data are used in published analyses. These are secondary data and their accuracy is not guaranteed. Citation of Arctos is no substitute for examination of specimens. The data providers are not responsible for loss or damages due to use of these data. http://arctosdb.org/home/data/ </br></br>For Terms of Use specific to the Denver Museum of Nature & Science, see http://www.dmns.org/conditions-of-use"
false,true,true,true,true,false,false,false,ITIS data is in the public domain
true,true,true,true,true,?,?,false,This work is made available under the Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in individual contents of the database are licensed under the Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
false,true,false,false,?,true,?,true,"UMMZ data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curator or collection manager of the Mammal Division of the University of Michigan Museum of Zoology. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the UMMZ notified. The University of Michigan and its staff are not responsible for damages, injury or loss due to the use of these data."
false,true,true,true,true,true,false,false,Data from this dataset may be used and shared freely when the creators of the data are attributed correctly
false,true,?,?,false,true,?,true,"The data and media available through Arctos are the property of the originating institution, with all rights reserved. These records are intended for use in education and research and may not be repackaged, redistributed, or sold in any form without prior written consent from the collection(s) holding such data. Users wishing to include Arctos data or media in publications, reports, websites, or other means of dissemination must acknowledge the provenance of the original data, cite the institutional catalog number(s), and notify the appropriate curator. The date that information was accessed should be cited when downloaded data are used in published analyses. These are secondary data and their accuracy is not guaranteed. Citation of Arctos is no substitute for examination of specimens. The data providers are not responsible for loss or damages due to use of these data. http://arctosdb.org/home/data/ </br></br>For Terms of Use specific to the Museum of Vertebrate Zoology, see http://mvz.berkeley.edu/PDFs/MVZ_terms_of_use.pdf"
false,true,false,false,?,true,?,true,"University of Arkansas data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the University of Arkansas. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the University of Arkansas notified. The University of Arkansas and its staff are not responsible for damages, injury or loss due to the use of these data."
true,true,true,true,true,false,false,false,Este trabajo está licenciado bajo una licencia Creative Commons Zero (CC0) 1.0  http://creativecommons.org/publicdomain/zero/1.0/legalcode
,,,,,,,,Please contact Dr. G.M. Dirkse gerard.dirkse@natuurmuseum.nl before use of the data in electronic files or printed publications.
false,true,false,true,?,true,?,true,"Data records from the Division of Ornithology of the University of Kansas Biodiversity Institute (KUBI) are provided for the use of individual researchers or research groups. If any of these records is to be used in an analysis or report, the provenance of the original data must be acknowledged and the curatorial staff of the Division of Ornithology notified. The data must not be redistributed in whole or in part without explicit written permission of a curator or collection manager from the Division of Ornithology. A copy of any publication in which the data appear must be sent to the Division of Ornithology Library. Individual researchers and their institutions are liable for the proper use of data from the KUNHM/BRC. The accuracy of the data associated with these specimen records is not guaranteed by the KUNHM/BRC."
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Otter survey of Ireland 2004 & 2005 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
true,true,true,true,true,false,false,false,cc0                 Creative Commons No copyright
true,true,true,false,false,true,false,false,cc-by-nc-nd
true,true,true,true,false,true,false,false,Formidabel Database van Wouter Dekoninck is in licentie gegeven volgens een Creative Commons Naamsvermelding-NietCommercieel-GelijkDelen 3.0 Unported licentie.http://creativecommons.org/licenses/by-nc/3.0/
false,true,false,false,?,true,?,true,"UMMZ Tissue holdings are not displayed. For information on these, please contact the collection manager. UMMZ data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curator or collection manager of the appropriate Division of the University of Michigan Museum of Zoology. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the UMMZ notified. The University of Michigan and its staff are not responsible for damages, injury or loss due to the use of these data."
false,true,false,false,?,true,?,true,"SBMNH data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the SBMNH. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the SBMNH notified. The Santa Barbara Museum of Natural History and its staff are not responsible for damages, injury or loss due to the use of these data."
true,true,true,true,false,true,true,false,http://creativecommons.org/licenses/by-nc-sa/3.0/
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the National Feral Ferret (Mustela putoris furo) Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Online Atlas of vascular plants 2012-2020 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,Contact Metafro team
false,true,false,false,?,true,?,true,"KU data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the KU Mammal Collection. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and KUNHM notified. The University of Kansas Museum of Natural History and its staff are not responsible for damages, injury or loss due to the use of these data."
false,true,false,false,?,true,?,true,"Emporia State University Herbarium (KSTC) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the KSTC. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the KSTC notified. The KSTC and its staff are not responsible for damages, injury or loss due to the use of these data."
true,true,true,true,false,true,true,false,Los datos de este recurso están sujetos a la licencia CC BY-NC-SA 3.0 (http://creativecommons.org/licenses/by-nc-sa/3.0/)
,,,,,,,,"The data in this dataset is free to share, modify and use on the only condition that the data creators are attributed in citation and acknowledgement."
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Syrphids of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Marine species distributions in Irish coastal waters dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,false,false,?,true,?,true,"New Mexico Museum of Natural History and Science (NMMNH) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the NMMNH. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the NMMNH notified. The NMMNH and its staff are not responsible for damages, injury or loss due to the use of these data."
false,true,true,true,true,true,?,false,GBIF Data Sharing Agreement is applied.  GBIF Data Use Agreement is applied.
false,?,?,?,?,?,?,?,See: http://www.fieldmuseum.org/linking_policy.htm
false,true,true,true,true,false,false,false,Open data
false,true,false,false,?,true,?,true,"Peabody Museum data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the museum. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the Peabody notified. Yale University and the Peabody Museum of Natural History and its staff are not responsible for damages, injury or loss due to the use of these data."
false,?,?,?,?,?,?,?,BfN/NetPhyD
false,false,false,?,?,?,?,?,Terms of use ZV-VWG data: All rights on this data file belong to the Field Study Group of the Dutch Mammal Society. Please contact the Field Study Group (veldwerkgroep@zoogdiervereniging.nl) before secondary usage of data in electronic or printed form.
false,true,false,true,?,true,?,true,"Data records from the Division of Herpetology of the University of Kansas Biodiversity Institute (KUBI) and Natural History Museum (KUNHM) are provided for the use of individual researchers or research groups. If any of these records is to be used in an analysis or report, the provenance of the original data must be acknowledged and the curatorial staff of the Division of Herpetology notified. The data must not be redistributed in whole or in part without explicit written permission of a curator or collection manager from the Division of Herpetology. A copy of any publication in which the data appear must be sent to the Division of Herpetology Library. Individual researchers and their institutions are liable for the proper use of data from the KUNHM/KUBI. The accuracy of the data associated with these specimen records is not guaranteed by the KUNHM/KUBI."
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Ireland's BioBlitz 2012 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,The data may only be used for achieving the objective of your own organization and may not be sold to third parties.
true,false,false,false,?,?,?,false,"These data are Copyright by the California Academy of Sciences, with all rights reserved."
true,false,false,false,?,?,?,false,These data are under copyright of the California Academy of Sciences. All rights reserved.
true,false,false,false,?,?,?,true,"These data are copyright by the California Academy of Sciences, with all rights reserved."
