url,code,name
http://creativecommons.org/licenses/by-nc-nd/3.0/,CC BY-NC,
http://creativecommons.org/licenses/by-nc-sa/3.0/,CC BY-NC-SA,
http://creativecommons.org/licenses/by-nc/3.0/,CC BY-NC,
http://creativecommons.org/licenses/by-sa/2.0/fr/,CC BY-SA,
http://creativecommons.org/licenses/by-sa/3.0/,CC BY-SA,
http://creativecommons.org/licenses/by/3.0/,CC BY,
http://creativecommons.org/licenses/by/3.0/au/,CC BY,
http://creativecommons.org/publicdomain/zero/1.0/,CC0,
http://opendatacommons.org/licenses/odbl/1.0/|http://opendatacommons.org/licenses/dbcl/1.0/,ODbL & DbCL,
http://opendatacommons.org/licenses/by/1.0/,ODC-By,
